time,Strain_pin01,Strain_pin05,Status
73773,5,608,0
73874,5,97,0
73974,5,682,1
74075,5,275,0
74176,5,312,0
74276,5,289,0
74377,5,251,0
74477,5,482,0
74578,5,935,1
74679,5,88,0
74779,5,466,0
74881,5,699,1
74981,5,230,0
75081,5,682,1
75182,5,516,0
75283,5,522,0
75383,5,404,0
75484,5,13,0
75585,5,65,0
75685,5,951,1
75786,5,211,0
75886,5,696,1
75987,5,617,0
76088,5,462,0
76188,5,489,0
76290,5,325,0
76390,5,277,0
76490,5,266,0
76592,5,420,0
76692,5,676,1
76792,5,14,0
76893,5,367,0
76994,5,247,0
77094,5,281,0
77195,5,750,1
77296,5,706,1
77396,5,75,0
77497,5,550,0
77597,5,641,0
77699,5,717,1
77799,5,604,0
77899,5,480,0
78001,5,619,0
78101,5,592,0
78201,5,551,0
78303,5,820,1
78403,5,822,1
78503,5,600,0
78604,5,64,0
78705,5,102,0
78806,5,772,1
78906,5,870,1
79007,5,854,1
79108,5,469,0
79208,5,1007,1
79308,5,493,0
79410,5,627,0
79510,5,789,1
79610,5,629,0
79712,5,913,1
79812,5,137,0
79912,5,982,1
80014,5,392,0
80114,5,21,0
80215,5,477,0
80315,5,697,1
80416,5,741,1
80517,5,504,0
80617,5,727,1
80718,5,509,0
80819,5,851,1
80919,5,694,1
81019,5,236,0
81121,5,777,1
81221,5,614,0
81321,5,22,0
81423,5,423,0
81523,5,371,0
81624,5,697,1
81724,5,834,1
81825,5,31,0
81926,5,103,0
82026,5,4,0
82127,5,206,0
82228,5,211,0
82328,5,366,0
82428,5,1012,1
82530,5,484,0
82630,5,132,0
82731,5,186,0
82832,5,268,0
82932,5,620,0
83033,5,602,0
83134,5,328,0
83234,5,341,0
83335,5,455,0
83435,5,28,0
83536,5,819,1
83637,5,677,1
83737,5,74,0
83838,5,200,0
83939,5,43,0
84039,5,488,0
84140,5,3,0
84241,5,229,0
84341,5,463,0
84442,5,465,0
84543,5,373,0
84643,5,375,0
84744,5,927,1
84844,5,196,0
84945,5,324,0
85046,5,695,1
85146,5,742,1
85248,5,426,0
85348,5,400,0
85448,5,257,0
85550,5,494,0
85650,5,250,0
85750,5,190,0
85851,5,444,0
85952,5,524,0
86052,5,505,0
86153,5,663,0
86254,5,84,0
86354,5,904,1
86455,5,380,0
86555,5,379,0
86657,5,778,1
86757,5,551,0
86857,5,943,1
86959,5,477,0
87059,5,452,0
87159,5,533,0
87260,5,504,0
87361,5,160,0
87461,5,812,1
87562,5,346,0
87663,5,753,1
87763,5,751,1
87864,5,490,0
87965,5,550,0
88066,5,429,0
88166,5,798,1
88266,5,93,0
88368,5,658,0
88468,5,433,0
88568,5,994,1
88670,5,666,1
88770,5,399,0
88870,5,687,1
88971,5,859,1
89072,5,289,0
89172,5,390,0
89273,5,451,0
89374,5,777,1
89475,5,591,0
89575,5,74,0
89676,5,19,0
89777,5,891,1
89877,5,207,0
89977,5,682,1
90079,5,613,0
90179,5,727,1
90279,5,946,1
90381,5,372,0
90481,5,801,1
90582,5,77,0
90682,5,694,1
90783,5,76,0
90884,5,902,1
90984,5,1011,1
91085,5,8,0
91186,5,91,0
91286,5,548,0
91386,5,403,0
91488,5,654,0
91588,5,536,0
91688,5,306,0
91790,5,507,0
91890,5,561,0
91991,5,10,0
92091,5,623,0
92192,5,6,0
92293,5,833,1
92393,5,897,1
92494,5,226,0
92595,5,408,0
92695,5,978,1
92796,5,816,1
92897,5,610,0
92997,5,171,0
93097,5,200,0
93199,5,23,0
93299,5,442,0
93400,5,791,1
93501,5,816,1
93601,5,291,0
93702,5,968,1
93802,5,704,1
93903,5,76,0
94004,5,860,1
94104,5,58,0
94205,5,798,1
94306,5,459,0
94406,5,244,0
94507,5,943,1
94608,5,370,0
94708,5,55,0
94809,5,43,0
94910,5,56,0
95010,5,799,1
95111,5,1014,1
95211,5,664,0
95312,5,101,0
95413,5,712,1
95513,5,1008,1
95614,5,739,1
95715,5,967,1
95815,5,523,0
95917,5,659,0
96017,5,540,0
96117,5,581,0
96218,5,679,1
96319,5,321,0
96419,5,923,1
96520,5,60,0
96621,5,68,0
96721,5,280,0
96822,5,834,1
96922,5,235,0
97024,5,1018,1
97124,5,204,0
97224,5,829,1
97326,5,263,0
97426,5,778,1
97526,5,707,1
97628,5,180,0
97728,5,563,0
97828,5,461,0
97929,5,18,0
98030,5,11,0
98130,5,366,0
98231,5,901,1
98332,5,951,1
98433,5,557,0
98533,5,941,1
98633,5,719,1
98735,5,576,0
98835,5,690,1
98935,5,827,1
99037,5,535,0
99137,5,316,0
99237,5,820,1
99339,5,1014,1
99439,5,958,1
99539,5,283,0
99640,5,537,0
99741,5,769,1
99842,5,502,0
99942,5,98,0
100043,5,287,0
100144,5,20,0
100244,5,919,1
100345,5,432,0
100446,5,901,1
100546,5,463,0
100647,5,142,0
100748,5,665,0
100848,5,157,0
100948,5,664,0
101050,5,366,0
101150,5,248,0
101251,5,1023,1
101352,5,826,1
101452,5,904,1
101553,5,154,0
101654,5,514,0
101754,5,568,0
101855,5,407,0
101956,5,153,0
102056,5,643,0
102157,5,936,1
102258,5,616,0
102359,5,367,0
102459,5,617,0
102560,5,993,1
102661,5,526,0
102761,5,761,1
102862,5,804,1
102963,5,666,1
103063,5,903,1
103164,5,52,0
103265,5,580,0
103365,5,456,0
103467,5,848,1
103567,5,287,0
103667,5,793,1
103769,5,168,0
103869,5,679,1
103969,5,390,0
104071,5,624,0
104171,5,503,0
104271,5,72,0
104373,5,506,0
104473,5,576,0
104573,5,284,0
104675,5,320,0
104775,5,544,0
104876,5,430,0
104976,5,776,1
105077,5,877,1
105178,5,625,0
105278,5,87,0
105379,5,419,0
105480,5,643,0
105580,5,638,0
105681,5,199,0
105782,5,33,0
105882,5,734,1
105984,5,1008,1
106084,5,470,0
106184,5,736,1
106286,5,149,0
106386,5,402,0
106486,5,908,1
106588,5,859,1
106688,5,376,0
106788,5,749,1
106890,5,667,1
106990,5,661,0
107090,5,598,0
107192,5,268,0
107292,5,483,0
107393,5,829,1
107494,5,91,0
107594,5,546,0
107695,5,375,0
107796,5,907,1
107896,5,230,0
107997,5,365,0
108098,5,206,0
108198,5,754,1
108299,5,466,0
108400,5,536,0
108500,5,376,0
108601,5,980,1
108701,5,129,0
108803,5,223,0
108903,5,500,0
109003,5,282,0
109105,5,589,0
109205,5,237,0
